"Код","Артикул","Наименование","Полное наименование","Цена дил.","Цена роз.","Статус","Остаток","Заказ"
"Мобильные телефоны и аксессуары","","","","","","","",""
"Мобильные телефоны","","","","","","","",""
"41572","2201117SG","Мобильный телефон Redmi Note 11S 6GB RAM 128GB ROM Twilight Blue","Мобильный телефон, Redmi, Note 11S 6GB 128GB, 6.43"" FHD+AMOLED, Аккумулятор 5000 мАч, 108MPx+8MPx+2MPx+2MPx/16MPx, Mediatek G96, Gorilla Glass 3, Fast Charge 33W, (Twilight Blue) Синий","116550","109990","",">50",""
"42131","2201116TG","Мобильный телефон Redmi Note 11 Pro 8GB RAM 128GB ROM Star Blue","Мобильный телефон, Redmi, Note 11 Pro 8GB 128GB, 6.67"" FHD+AMOLED, Аккумулятор 5000 мАч, 108MPx+8MPx+2MPx+2MPx/16MPx, Mediatek Helio G96, Gorilla Glass 5, NFC, Fast Charge 67W, (Star Blue) Светло-Синий","133510","159990","","0",""
"50689","23021RAAEG","Мобильный телефон Redmi Note 12 4GB RAM 128GB ROM Onyx Gray","Мобильный телефон, Redmi, Note 12 4GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx/13MPx, Snapdragon 685, Gorilla Glass 3, Fast Charge 33W, (Onyx Gray) Серый","101000","119990","",">50",""
"50690","23021RAAEG","Мобильный телефон Redmi Note 12 6GB RAM 128GB ROM Onyx Gray","Мобильный телефон, Redmi, Note 12 6GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx/13MPx, Snapdragon 685, Gorilla Glass 3, Fast Charge 33W, (Onyx Gray) Серый","118000","139990","",">50",""
"51365","23021RAAEG","Мобильный телефон Redmi Note 12 4GB RAM 128GB ROM Ice Blue","Мобильный телефон, Redmi, Note 12 4GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx/13MPx, Snapdragon 685, Gorilla Glass 3, Fast Charge 33W, (Ice Blue) Синий","101000","119990","",">50",""
"51366","23021RAAEG","Мобильный телефон Redmi Note 12 6GB RAM 128GB ROM Ice Blue","Мобильный телефон, Redmi, Note 12 6GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx/13MPx, Snapdragon 685, Gorilla Glass 3, Fast Charge 33W, (Ice Blue) Синий","118000","139990","",">50",""
"50980","23021RAAEG","Мобильный телефон Redmi Note 12 4GB RAM 128GB ROM Mint Green","Мобильный телефон, Redmi, Note 12 4GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx/13MPx, Snapdragon 685, Gorilla Glass 3, Fast Charge 33W, (Mint Green) Зелёный","101000","119990","","0",""
"50805","23021RAAEG","Мобильный телефон Redmi Note 12 6GB RAM 128GB ROM Mint Green","Мобильный телефон, Redmi, Note 12 6GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx/13MPx, Snapdragon 685, Gorilla Glass 3, Fast Charge 33W, (Mint Green) Зелёный","118000","139990","",">50",""
"50701","23021RAA2Y","Мобильный телефон Redmi Note 12 4GB RAM 128GB ROM NFC Onyx Gray","Мобильный телефон, Redmi, Note 12 4GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx/13MPx, Snapdragon 685, Gorilla Glass 3, Fast Charge 33W, NFC, (Onyx Gray) Серый","101000","119990","",">50",""
"50703","23021RAA2Y","Мобильный телефон Redmi Note 12 6GB RAM 128GB ROM NFC Onyx Gray","Мобильный телефон, Redmi, Note 12 6GB 128GB, 6.67"" AMOLED, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx/13MPx, Snapdragon 685, Gorilla Glass 3, Fast Charge 33W, NFC, (Onyx Gray) Серый","118000","139990","",">50",""
